stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1728,"SILVER LAKE/Private Road",,           ,           ,,,,,,
1729,"SILVER LAKE/Private Road",,           ,           ,,,,,,
1731,"SILVER LAKE/STEAD",,           ,           ,,,,,,
1732,"ECHO/MT. BISMARK",,           ,           ,,,,,,
1733,"ECHO/MT. ANDERSON",,           ,           ,,,,,,
1734,"ECHO/INDUSTRY",,           ,           ,,,,,,
1735,"ECHO/MOYA",,           ,           ,,,,,,
1736,"MOYA/Warehouse",,           ,           ,,,,,,
1737,"MOYA/Herb Trade",,           ,           ,,,,,,
1738,"MOYA/LEAR",,           ,           ,,,,,,
1753,"LAKE/MILL",,           ,           ,,,,,,
1754,"Kirman/Cheney",,           ,           ,,,,,,
1755,"Locust/Cheney",,           ,           ,,,,,,
1757,"Grand Sierra Resort CC",,           ,           ,,,,,,
1758,"Glendale/Grand Sierra Resort",,           ,           ,,,,,,
1759,"GLENDALE/INDUSTRIAL",,           ,           ,,,,,,
1760,"GLENDALE/MARIETTA",,           ,           ,,,,,,
1761,"GLENDALE/LINDA WY",,           ,           ,,,,,,
1762,"GLENDALE/STANFORD",,           ,           ,,,,,,
1763,"GLENDALE/BERGIN",,           ,           ,,,,,,
1764,"GLENDALE/WATSON",,           ,           ,,,,,,
1765,"GLENDALE/PACKER",,           ,           ,,,,,,
1766,"GLENDALE/SIERRA COM CTR",,           ,           ,,,,,,
1767,"GLENDALE/DEMING",,           ,           ,,,,,,
1768,"MEREDITH/GLENDALE",,           ,           ,,,,,,
1769,"MEREDITH/KLEPPE",,           ,           ,,,,,,
